Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT|                |01 |001     | 000000000002958.93|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000008630.10|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000007989.03|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000019232.85|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000047342.43|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002958.93|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000016561.74|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000021797.10|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000074655.75|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000009431.55|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000004006.86|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000801.36|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |023     | 000000000000000.00|20160928  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |021     | 000000000000000.00|20170120  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |014     | 000000000000000.00|20161216  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |021     | 000000000000000.00|20170206  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |028     | 000000000000000.00|20170127  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20170110  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |009     | 000000000000000.00|20170528  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
